ml_egap_type,ml_egap,ml_energy_per_atom,ml_ael_bulk_modulus_vrh,ml_ael_shear_modulus_vrh,ml_agl_debye,ml_agl_heat_capacity_Cp_300K,ml_agl_heat_capacity_Cp_300K_per_atom,ml_agl_heat_capacity_Cv_300K,ml_agl_heat_capacity_Cv_300K_per_atom,ml_agl_thermal_conductivity_300K,ml_agl_thermal_expansion_300K,full_formula,material_id
Insulator,3.455,-5.173,19.259,32.49,940.058,108.724,1.96,99.989,1.973,2.753,5.915e-05,H28N4O24,mp-504422
Insulator,5.745,-5.23,29.357,40.824,838.912,114.987,2.12,107.977,2.04,3.225,5.99e-05,Li4Be4H20N8F16,mp-721303
Metal,0.0,-6.46,146.0,76.877,494.098,77.359,2.704,76.99,2.63,2.825,5.992e-05,V4In8O20,mp-21274
Insulator,1.508,-7.158,166.852,95.55,673.216,94.395,2.396,92.754,2.347,2.754,6.056e-05,Fe12B4O24,mp-22774
Insulator,1.586,-3.751,14.141,5.022,216.759,89.527,3.077,79.614,2.941,2.207,5.236e-05,Tl8S20,mp-30520
Insulator,5.389,-6.347,57.295,38.296,709.458,83.315,2.328,81.684,2.276,2.68,5.938e-05,Ca4P4H8O18,mp-706426
Insulator,2.138,-5.318,45.958,46.298,601.779,90.307,2.44,91.532,2.308,2.594,6.012e-05,Na4Cu2H8S4O20,mp-721317
Insulator,3.777,-8.119,144.74,71.79,606.843,62.113,2.565,62.669,2.472,2.748,6.013e-05,Zr4P4O18,mp-27132
Insulator,2.123,-4.231,15.171,13.893,260.911,54.229,3.025,57.148,2.848,2.92,4.902e-05,K4W2Cl10O1,mp-555210
Insulator,1.912,-6.942,62.274,37.69,507.994,69.62,2.686,62.962,2.546,2.573,5.976e-05,K4V6O16,mp-16787
Insulator,2.928,-5.582,20.021,7.162,720.486,105.067,2.209,100.253,2.169,2.621,6.759e-05,H24C8S8N16,mp-706559
Insulator,1.885,-5.684,66.061,36.134,503.695,53.731,2.629,50.577,2.565,2.585,5.201e-05,K2Ni1Pb1N6O12,mp-22139
Insulator,4.51,-6.375,58.358,54.434,689.449,127.114,2.273,120.216,2.206,2.859,5.933e-05,Na12B12H8O28,mp-720583
Insulator,6.327,-3.22,26.182,9.978,883.463,10.134,2.091,9.87,1.941,6.155,7.714e-05,H2F2,mp-632296
Insulator,2.086,-4.616,38.296,12.09,263.511,127.348,2.971,128.001,2.872,2.202,5.23e-05,Bi8P8S32,mp-27133
Insulator,2.256,-5.778,33.093,14.7,408.983,52.896,2.813,52.696,2.731,2.586,5.991e-05,Sb8O12,mp-1999
Insulator,4.273,-5.493,67.629,48.117,668.92,146.177,2.378,132.839,2.374,2.638,5.988e-05,Zn12P8H32O48,mp-706444
Insulator,2.008,-4.435,10.618,13.733,352.752,122.764,2.885,122.043,2.763,2.486,6.07e-05,Ge16S32,mp-572892
Insulator,3.94,-5.884,72.845,41.758,552.272,115.166,2.525,107.58,2.527,2.508,5.919e-05,Sb8S8O36,mp-638424
Insulator,3.129,-8.145,141.757,85.862,509.223,116.719,2.612,119.212,2.527,2.659,5.176e-05,La8Ti8O28,mp-559768
Insulator,4.844,-6.377,92.676,49.761,609.939,29.404,2.522,28.204,2.434,2.824,6.047e-05,Ca2S2O8,mp-4406
Insulator,1.174,-2.142,16.699,9.067,155.301,167.854,3.145,154.387,2.977,2.298,5.935e-05,Cd32As16I24,mp-27528
Insulator,4.047,-6.868,99.559,49.324,556.476,112.93,2.562,107.364,2.471,2.439,5.092e-05,Bi4P12O36,mp-27135
Insulator,4.461,-6.638,80.287,40.135,536.269,90.275,2.645,91.058,2.551,2.451,5.027e-05,Bi2P8H2O24,mp-24348
Insulator,4.82,-4.591,33.721,22.755,358.839,72.994,2.956,72.321,2.787,3.671,5.703e-05,Na2Sb6F20,mp-27573
Insulator,2.816,-2.254,-1.504,4.754,122.851,84.595,3.416,78.082,2.974,2.685,7.143e-05,K8Ag4I12,mp-569943
Insulator,3.852,-4.782,17.279,-0.7,672.953,113.434,2.386,103.562,2.358,3.57,6.571e-05,H48S8N16,mp-604209
Insulator,2.797,-6.171,53.437,42.511,549.361,94.712,2.51,90.022,2.405,2.387,6.544e-05,Li12Cr6O24,mp-17159
Insulator,5.415,-6.623,53.263,58.373,731.461,143.49,2.207,131.334,2.126,2.934,5.968e-05,Na8B20H20O44,mp-720593
Insulator,3.748,-7.335,177.648,137.548,893.871,66.321,2.045,67.36,1.991,2.984,6.121e-05,Al8Co2B4O20,mp-19348
Insulator,4.023,-6.657,98.465,49.887,495.985,137.368,2.657,132.355,2.609,2.613,5.172e-05,Ba4Cd4P16O48,mp-540736
